Doctor ID,Doctor Name,Gender,Specialty,Department ID,Years Of Experience,Hospital Affiliation,Clinic Name,Phone Number,Email,License Number,Is Active
75884,Ashley Garrett,Female,Neurology,5,14,Kelley Inc,Garcia LLC,149.652.4863x4377,michael05@scott.com,LIC-100113,Yes
34402,Debra Jackson,Female,Cardiology,2,23,"Garcia, Brown and Watson","Brown, Harris and Rice",(681)182-7187x04205,xduke@reid.com,LIC-100114,Yes
21885,Victor Robinson,Female,Cardiology,2,22,"Jackson, Nelson and Mason",Lewis-Kelly,001-149-038-9122x63604,nhawkins@gmail.com,LIC-100115,Yes
27777,Danielle Levy,Female,Cardiology,2,20,"Fox, Lawson and Andrews",Solis-Wright,(221)239-1257x45395,frankgraham@yahoo.com,LIC-100116,Yes
81714,Kyle Dorsey,Male,Neurology,5,25,"Wilson, Miller and Osborne",Sloan-Rosario,001-767-195-0473x6228,hooddanielle@hotmail.com,LIC-100117,Yes
82940,Joy Thomas,Female,General Medicine,1,34,Avery PLC,"Brown, Brown and Schneider",895.236.1485,michaeltaylor@hotmail.com,LIC-100118,Yes
15961,Nathan White,Male,Pediatrics,3,23,Reed-Reynolds,Stevens-Romero,(405)115-2126,pricedonald@prince.biz,LIC-100119,Yes
85128,Maria Norman,Female,General Medicine,1,10,Holland-Hall,"Hardin, Gregory and Washington",001-156-365-6268x43626,stephen27@fuller.net,LIC-100120,Yes
57142,Joshua King,Female,General Medicine,1,11,Carr Ltd,"Jackson, Hernandez and Aguilar",585.454.1814x48391,reneemiller@hotmail.com,LIC-100121,Yes
8730,Mary Manning,Male,Cardiology,2,31,Reynolds Ltd,Lloyd Ltd,699-738-6782x626,sharpraymond@gmail.com,LIC-100122,Yes
45564,Jason Garcia,Male,Orthopedics,4,36,Smith-Weaver,Fletcher LLC,140.260.8061x5576,vrogers@gmail.com,LIC-100123,Yes
67325,Terry Campos,Male,Pediatrics,3,32,Taylor-Walker,"Barrera, Allen and Burton",(401)656-8175x20799,colonjoshua@kaiser.com,LIC-100124,Yes
76980,Ariel Mason,Male,Pediatrics,3,26,Roach Group,"Duncan, Brown and Parks",252.821.3232x393,taylorstewart@hotmail.com,LIC-100125,Yes
46308,Jessica Williams,Female,Cardiology,2,3,Miller LLC,"Ferrell, Horton and Sexton",+1-015-562-3504x91689,paul58@montes-young.org,LIC-100126,Yes
36815,Daniel Nunez,Female,Neurology,5,35,Montes and Sons,Sullivan PLC,+1-134-982-5502x42145,uyates@baker-williams.com,LIC-100127,Yes
75933,Molly Washington,Male,Neurology,5,38,"Williams, Owens and Jones",Brown-Miller,+1-189-201-6478x331,jacquelinecopeland@nichols-ball.com,LIC-100128,Yes
72497,Katie Cruz,Male,Neurology,5,26,Brown Inc,Pierce-Finley,+1-478-978-8807x538,burnettveronica@fox.com,LIC-100129,Yes
79422,Cassandra Smith,Male,Orthopedics,4,14,"Barry, Green and Williams","Hall, Conrad and Anderson",(902)728-1867,brownjessica@robinson-cruz.com,LIC-100130,Yes
5413,Matthew House,Male,Pediatrics,3,18,Schwartz-Grimes,Skinner PLC,103-590-8299x272,robertstonya@bean.com,LIC-100131,Yes
35744,Lisa Duncan,Male,Cardiology,2,1,Benjamin Inc,"Mathis, Bender and Osborn",617-379-3240,bthomas@mckenzie.com,LIC-100132,Yes
74133,Carla Lewis,Male,Orthopedics,4,1,Figueroa-Smith,"Price, Hutchinson and Allen",(763)044-4832x55754,drakeerika@hoffman.com,LIC-100133,Yes
14644,Madison Keith,Female,Cardiology,2,28,Lamb-Rojas,"Williams, Higgins and Barker",+1-690-614-8174,markramirez@yahoo.com,LIC-100134,Yes
96186,Kyle Dyer,Male,Pediatrics,3,4,Klein-Ferrell,Rodriguez PLC,(435)948-0822x938,brandon09@yahoo.com,LIC-100135,Yes
91176,Jasmine Shaw,Male,Neurology,5,37,"Turner, Turner and Mendez","Johnson, Gutierrez and Robinson",476.494.9412,wwillis@gmail.com,LIC-100136,Yes
58531,Dylan English,Female,General Medicine,1,22,Ayala LLC,Collins Ltd,+1-690-269-4952,bishopmatthew@yahoo.com,LIC-100137,Yes
59577,Scott Hood,Male,Pediatrics,3,12,Smith-Weiss,"Berger, Garcia and Gonzales",+1-147-854-7117x18228,qhawkins@kim.com,LIC-100138,Yes
65780,Michael Gomez,Female,General Medicine,1,34,Richardson-Torres,Simpson Group,424-807-3257x11612,gordonjoshua@gmail.com,LIC-100139,Yes
87115,Karen Martinez,Female,General Medicine,1,34,Romero-Jenkins,"Munoz, Smith and Massey",6509777792,jensenmelissa@glenn-romero.com,LIC-100140,Yes
8760,Corey Robbins,Male,Orthopedics,4,32,Brown-Morgan,"Lamb, Jones and Hill",(126)998-1853x699,jameshenderson@hotmail.com,LIC-100141,Yes
73903,Wendy Lynch,Male,General Medicine,1,2,Gallagher PLC,Yu-Vazquez,605-462-2289x523,olong@cisneros.biz,LIC-100142,Yes
60026,Megan Woodward,Male,Cardiology,2,36,Bailey-Morris,Robinson-Brown,688.616.2076x581,michaelmann@jarvis.com,LIC-100143,Yes
36639,Heather Carpenter,Male,Pediatrics,3,25,Malone-Smith,Gross-Barnes,(048)227-2179,yvazquez@yahoo.com,LIC-100144,Yes
78098,Susan Roy,Male,General Medicine,1,37,Parrish Inc,Ward PLC,+1-826-779-0676x64156,chad02@hotmail.com,LIC-100145,Yes
19423,Alex Goodwin,Female,Neurology,5,31,"Alexander, Young and Mendoza","Berry, Williams and Perez",001-978-461-1158x962,stevensdebra@yahoo.com,LIC-100146,Yes
9490,Cindy Rodriguez,Male,Cardiology,2,20,Wiley PLC,Farmer-Larsen,582.878.7014,munozbrenda@rogers-west.biz,LIC-100147,Yes
67052,Timothy Meyers,Male,Cardiology,2,8,"Baird, Harris and Webb","Cooper, Delgado and Kelley",(252)902-2893x93999,christopher47@gmail.com,LIC-100148,Yes
22900,Alexandra Johnson,Male,Orthopedics,4,3,Wells Group,Wright-Carroll,745-119-4085,craig32@gonzalez-thompson.info,LIC-100149,Yes
58112,Benjamin Johnson,Female,General Medicine,1,10,Gonzales-Knight,Zhang-Sanchez,(467)771-8593,shirleybryant@hotmail.com,LIC-100150,Yes
59121,Michael Williams,Male,Cardiology,2,28,"Newton, Rogers and Conley",Casey-Young,401.203.9183,careyadam@hotmail.com,LIC-100151,Yes
50232,Charles Moran,Male,Orthopedics,4,15,"Hobbs, Wells and Fisher",Torres LLC,955-886-4434x804,braddelacruz@gmail.com,LIC-100152,Yes
78750,Steven Walsh,Male,General Medicine,1,38,White Ltd,Lambert-Graves,+1-870-741-5718,xallison@gomez.biz,LIC-100153,Yes
89168,Megan Vasquez,Female,Orthopedics,4,34,Brewer Inc,"Haas, Perez and Rose",001-038-031-5982x0044,adam42@gmail.com,LIC-100154,Yes
87849,Christopher Phillips,Male,Orthopedics,4,9,Ferguson PLC,Leonard-Bailey,465-874-4505,ellissarah@yahoo.com,LIC-100155,Yes
68856,Stephanie Miller,Female,Cardiology,2,32,Rivera-Hall,Smith Group,001-625-490-4897x20572,qwalker@yahoo.com,LIC-100156,Yes
84442,Elizabeth Bowers,Female,General Medicine,1,39,Johnson Group,"Potter, Cole and Smith",(359)934-3981x893,ofisher@andrews.com,LIC-100157,Yes
12026,Travis Foster,Male,Pediatrics,3,13,"Alexander, Hawkins and Wright",Morris-Dorsey,001-608-971-2040x6665,aclark@powell.com,LIC-100158,Yes
78367,Keith White,Female,Cardiology,2,13,Cooper Group,Cooper-Jones,001-553-808-4392x742,dsmith@gmail.com,LIC-100159,Yes
65459,David Hayden,Male,Pediatrics,3,8,Howard-Wilkinson,Myers Ltd,176-654-7979x2744,bakerjoseph@yahoo.com,LIC-100160,Yes
45400,Melissa House,Female,Pediatrics,3,27,Oliver-Bowman,"Wright, Hurley and Gardner",(027)639-5912x326,david93@duffy.net,LIC-100161,Yes
75124,David Hobbs,Female,Cardiology,2,36,Ross-Jones,Smith-Jacobson,001-506-465-2145,elee@hernandez-hickman.com,LIC-100162,Yes
51690,Erin Walker,Male,Neurology,5,25,Chapman LLC,"Hess, Brown and Long",(046)825-9408,lopezkathleen@yahoo.com,LIC-100163,Yes
75297,Megan Stewart,Male,General Medicine,1,6,Fletcher Inc,Davis Inc,+1-007-390-8936,wilkinsonjason@gutierrez.info,LIC-100164,Yes
59161,Cheryl Watts,Female,General Medicine,1,8,Henderson Group,"Harvey, Allen and Davis",001-136-194-1931x59169,jenkinschristine@gmail.com,LIC-100165,Yes
99775,Laura Lin,Male,Neurology,5,15,Stewart-Ramirez,Schwartz-Rodriguez,+1-705-083-4523x665,huntdawn@gmail.com,LIC-100166,Yes
5503,Brooke Ellison,Male,Cardiology,2,20,"Williams, King and Griffin",Brown LLC,209-845-9936,turnerwilliam@gmail.com,LIC-100167,Yes
51489,Tracey Byrd,Male,Cardiology,2,10,Harris Inc,Hays Inc,118.852.5393x29944,lstanley@yahoo.com,LIC-100168,Yes
72366,Bethany Hamilton,Male,Pediatrics,3,26,"Cooper, Hamilton and Gentry",Kennedy and Sons,+1-747-839-4814x344,scottbrian@lopez.com,LIC-100169,Yes
3475,Allen Watkins,Female,Neurology,5,35,Garcia Inc,Butler and Sons,971.626.3234,yharris@gmail.com,LIC-100170,Yes
5213,James Garner,Male,Pediatrics,3,23,Johnson-Anderson,Best Inc,465-055-1905x8641,billyking@sandoval-reeves.org,LIC-100171,Yes
12918,Anna Hamilton,Male,General Medicine,1,36,Saunders PLC,Lopez-Brown,013.999.0274x568,jlopez@moore-gates.com,LIC-100172,Yes
96517,Judith Anderson,Male,Neurology,5,16,Morrow-Peterson,Nelson PLC,001-967-749-4866x43533,louiswilliams@gray.net,LIC-100173,Yes
